TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612744,De'Anthony Melton,1629001,GSW,PG,Combo,42,961,2043,547,136,103,68,17,80,0.525,0.292,34,102,215,123,0.262,0.618,134,0.286,0.44,0.452,0.292,-3.7,26.5,4.7,36.7,0.232,3.9,12,16.6,3.4,1.6,13.3
1610612740,DeAndre Jordan,201599,NOP,C,Big,11,180,379,45,69,11,4,9,9,0.667,0,22,47,0,23,0.852,0.696,4,0.148,0.5,0,0,11,9.9,0,0,0.556,13.1,28.5,7.9,1.1,4.8,21.1
1610612763,DeJon Jarreau,1630610,MEM,SG,Combo,7,143,312,54,33,24,7,2,16,0.586,0.174,6,27,23,15,0.288,0.667,14,0.269,0.5,0.442,0.174,-8.5,21.2,3.7,31.8,0.212,4.5,20.7,23.5,2.3,1.3,22
1610612758,DeMar DeRozan,201942,SAC,PF,Forward,73,2307,4874,1346,219,304,78,22,91,0.528,0.307,32,187,140,105,0.11,0.752,708,0.743,0.494,0.147,0.307,3.2,22.6,5.1,33.5,0.437,1.5,9.3,20.1,1.6,0.9,7.4
1610612739,Dean Wade,1629731,CLE,PF,Forward,57,1279,2699,331,240,86,43,22,16,0.617,0.354,51,189,192,62,0.227,0.645,19,0.07,0.526,0.703,0.354,1.1,10.1,0.7,14.2,0.139,4.4,16.3,8.4,1.6,1.6,5.2
1610612747,Deandre Ayton,1629028,LAL,C,Big,63,1738,3609,781,524,54,37,56,78,0.672,0,165,359,0,273,0.518,0.788,254,0.482,0.547,0,0,11.5,16.5,0,0,0.224,11.5,23.6,4.6,1,3,11.9
1610612740,Dejounte Murray,1627749,NOP,PG,Point,12,333,703,206,63,78,20,2,41,0.574,0.316,3,60,57,36,0.228,0.556,65,0.411,0.585,0.361,0.316,2.4,27.3,10.7,46.9,0.266,1,19.7,36.4,2.9,0.6,18.9
1610612757,Deni Avdija,1630166,POR,SF,Wing,58,1917,4128,1389,399,388,44,36,223,0.539,0.321,68,331,352,318,0.344,0.648,255,0.276,0.404,0.381,0.321,3.9,29.2,10.4,48,0.58,3.8,18.9,32.2,1.1,1.7,16.1
1610612739,Dennis Schröder,203471,CLE,PG,Point,62,1536,3194,684,171,303,49,10,113,0.443,0.33,26,145,215,115,0.2,0.557,244,0.425,0.389,0.375,0.33,-3.8,21.2,6.7,36,0.321,1.8,10.7,27.4,1.5,0.6,14.7
1610612742,Dereck Lively II,1641726,DAL,C,Big,7,115,256,30,37,13,4,11,10,0.611,0,14,23,0,16,0.889,0.625,2,0.111,0.5,0,0,11,11.8,0,0,0.556,13.2,20.9,14.6,1.6,8.1,30.9
1610612740,Derik Queen,1642852,NOP,C,Big,73,1786,3824,828,500,272,70,64,167,0.504,0.273,117,383,77,315,0.485,0.616,258,0.397,0.368,0.118,0.273,-1,21.5,4.4,32.6,0.362,7,23.4,21.8,1.9,3.4,18.1
1610612746,Derrick Jones Jr.,1627884,LAC,SF,Wing,41,1128,2332,444,135,58,40,42,33,0.617,0.351,46,89,136,126,0.401,0.722,57,0.182,0.386,0.417,0.351,5.6,15.5,1.5,19.8,0.263,4.9,8.9,7.4,1.8,3.5,8.4
